id,name,blurb,goal,pledged,outcome,backers_count,country,currency,launched_at,deadline,staff_pick,spotlight,category & sub-category,Percent Funded,Average Donation,Parent Category,Sub-Category
19,Perez-Hess,Down-sized cohesive archive,62500,30331,failed,674,US,USD,1551679200,1553490000,FALSE,TRUE,theater/plays,49%,15502.5,,
20,"Reeves, Thompson and Richardson",Proactive composite alliance,131800,147936,successful,1396,US,USD,1406523600,1406523600,FALSE,FALSE,film & video/drama,112%,74666,,
21,Simmons-Reynolds,Re-engineered intangible definition,94000,38533,failed,558,US,USD,1313384400,1316322000,FALSE,FALSE,theater/plays,41%,19545.5,,
22,Collier Inc,Enhanced dynamic definition,59100,75690,successful,890,US,USD,1522731600,1524027600,FALSE,FALSE,theater/plays,128%,38290,,
23,Gray-Jenkins,Devolved next generation adapter,4500,14942,successful,142,GB,GBP,1550124000,1554699600,FALSE,FALSE,film & video/documentary,332%,7542,,
24,"Scott, Wilson and Martin",Cross-platform intermediate frame,92400,104257,successful,2673,US,USD,1403326800,1403499600,FALSE,FALSE,technology/wearables,113%,53465,,
25,"Caldwell, Velazquez and Wilson",Monitored impactful analyzer,5500,11904,successful,163,US,USD,1305694800,1307422800,FALSE,TRUE,games/video games,216%,6033.5,,
26,Spencer-Bates,Optional responsive customer loyalty,107500,51814,canceled,1480,US,USD,1533013200,1535346000,FALSE,FALSE,theater/plays,48%,26647,,
27,"Best, Carr and Williams",Diverse transitional migration,2000,1599,failed,15,US,USD,1443848400,1444539600,FALSE,FALSE,music/rock,80%,807,,
28,"Campbell, Brown and Powell",Synchronized global task-force,130800,137635,successful,2220,US,USD,1265695200,1267682400,FALSE,TRUE,theater/plays,105%,69927.5,,
29,"Johnson, Parker and Haynes",Focused 6thgeneration forecast,45900,150965,successful,1606,CH,CHF,1532062800,1535518800,FALSE,FALSE,film & video/shorts,329%,76285.5,,
30,Clark-Cooke,Down-sized analyzing challenge,9000,14455,successful,129,US,USD,1558674000,1559106000,FALSE,FALSE,film & video/animation,161%,7292,,
31,Schroeder Ltd,Progressive needs-based focus group,3500,10850,successful,226,GB,GBP,1451973600,1454392800,FALSE,FALSE,games/video games,310%,5538,,
32,Jackson PLC,Ergonomic 6thgeneration success,101000,87676,failed,2307,IT,EUR,1515564000,1517896800,FALSE,FALSE,film & video/documentary,87%,44991.5,,
33,"Blair, Collins and Carter",Exclusive interactive approach,50200,189666,successful,5419,US,USD,1412485200,1415685600,FALSE,FALSE,theater/plays,378%,97542.5,,
34,Maldonado and Sons,Reverse-engineered asynchronous archive,9300,14025,successful,165,US,USD,1490245200,1490677200,FALSE,FALSE,film & video/documentary,151%,7095,,
35,Mitchell and Sons,Synergized intangible challenge,125500,188628,successful,1965,DK,DKK,1547877600,1551506400,FALSE,TRUE,film & video/drama,150%,95296.5,,
36,Jackson-Lewis,Monitored multi-state encryption,700,1101,successful,16,US,USD,1298700000,1300856400,FALSE,FALSE,theater/plays,157%,558.5,,
37,"Black, Armstrong and Anderson",Profound attitude-oriented functionalities,8100,11339,successful,107,US,USD,1570338000,1573192800,FALSE,TRUE,publishing/fiction,140%,5723,,
38,Maldonado-Gonzalez,Digitized client-driven database,3100,10085,successful,134,US,USD,1287378000,1287810000,FALSE,FALSE,photography/photography books,325%,5109.5,,
39,Kim-Rice,Organized bi-directional function,9900,5027,failed,88,DK,DKK,1361772000,1362978000,FALSE,FALSE,theater/plays,51%,2557.5,,
40,"Garcia, Garcia and Lopez",Reduced stable middleware,8800,14878,successful,198,US,USD,1275714000,1277355600,FALSE,TRUE,technology/wearables,169%,7538,,
41,Watts Group,Universal 5thgeneration neural-net,5600,11924,successful,111,IT,EUR,1346734800,1348981200,FALSE,TRUE,music/rock,213%,6017.5,,
42,Werner-Bryant,Virtual uniform frame,1800,7991,successful,222,US,USD,1309755600,1310533200,FALSE,FALSE,food/food trucks,444%,4106.5,,
43,Schmitt-Mendoza,Profound explicit paradigm,90200,167717,successful,6212,US,USD,1406178000,1407560400,FALSE,FALSE,publishing/radio & podcasts,186%,86964.5,,
44,Reid-Mccullough,Visionary real-time groupware,1600,10541,successful,98,DK,DKK,1552798800,1552885200,FALSE,FALSE,publishing/fiction,659%,5319.5,,
45,Woods-Clark,Networked tertiary Graphical User Interface,9500,4530,failed,48,US,USD,1478062800,1479362400,FALSE,TRUE,theater/plays,48%,2289,,
46,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700,4247,successful,92,US,USD,1278565200,1280552400,FALSE,FALSE,music/rock,115%,2169.5,,
47,Bennett and Sons,Function-based multi-state software,1500,7129,successful,149,US,USD,1396069200,1398661200,FALSE,FALSE,theater/plays,475%,3639,,
48,Lamb Inc,Optimized leadingedge concept,33300,128862,successful,2431,US,USD,1435208400,1436245200,FALSE,FALSE,theater/plays,387%,65646.5,,
49,Casey-Kelly,Sharable holistic interface,7200,13653,successful,303,US,USD,1571547600,1575439200,FALSE,FALSE,music/rock,190%,6978,,
50,"Jones, Taylor and Moore",Down-sized system-worthy secured line,100,2,failed,1,IT,EUR,1375333200,1377752400,FALSE,FALSE,music/metal,2%,1.5,,
51,"Bradshaw, Gill and Donovan",Inverse secondary infrastructure,158100,145243,failed,1467,GB,GBP,1332824400,1334206800,FALSE,TRUE,technology/wearables,92%,73355,,
52,"Hernandez, Rodriguez and Clark",Organic foreground leverage,7200,2459,failed,75,US,USD,1284526800,1284872400,FALSE,FALSE,theater/plays,34%,1267,,
53,Smith-Jones,Reverse-engineered static concept,8800,12356,successful,209,US,USD,1400562000,1403931600,FALSE,FALSE,film & video/drama,140%,6282.5,,
54,Roy PLC,Multi-channeled neutral customer loyalty,6000,5392,failed,120,US,USD,1520748000,1521262800,FALSE,FALSE,technology/wearables,90%,2756,,
55,"Wright, Brooks and Villarreal",Reverse-engineered bifurcated strategy,6600,11746,successful,131,US,USD,1532926800,1533358800,FALSE,FALSE,music/jazz,178%,5938.5,,
56,"Flores, Miller and Johnson",Horizontal context-sensitive knowledge user,8000,11493,successful,164,US,USD,1420869600,1421474400,FALSE,FALSE,technology/wearables,144%,5828.5,,
57,"Bridges, Freeman and Kim",Cross-group multi-state task-force,2900,6243,successful,201,US,USD,1504242000,1505278800,FALSE,FALSE,games/video games,215%,3222,,
58,Anderson-Perez,Expanded 3rdgeneration strategy,2700,6132,successful,211,US,USD,1442811600,1443934800,FALSE,FALSE,theater/plays,227%,3171.5,,
59,"Wright, Fox and Marks",Assimilated real-time support,1400,3851,successful,128,US,USD,1497243600,1498539600,FALSE,TRUE,theater/plays,275%,1989.5,,
60,Crawford-Peters,User-centric regional database,94200,135997,successful,1600,CA,CAD,1342501200,1342760400,FALSE,FALSE,theater/plays,144%,68798.5,,
61,Romero-Hoffman,Open-source zero administration complexity,199200,184750,failed,2253,CA,CAD,1298268000,1301720400,FALSE,FALSE,theater/plays,93%,93501.5,,
62,Sparks-West,Organized incremental standardization,2000,14452,successful,249,US,USD,1433480400,1433566800,FALSE,FALSE,technology/web,723%,7350.5,,
63,"Baker, Morgan and Brown",Assimilated didactic open system,4700,557,failed,5,US,USD,1493355600,1493874000,FALSE,FALSE,theater/plays,12%,281,,
64,Mosley-Gilbert,Vision-oriented logistical intranet,2800,2734,failed,38,US,USD,1530507600,1531803600,FALSE,TRUE,technology/web,98%,1386,,
65,Berry-Boyer,Mandatory incremental projection,6100,14405,successful,236,US,USD,1296108000,1296712800,FALSE,FALSE,theater/plays,236%,7320.5,,
66,Sanders-Allen,Grass-roots needs-based encryption,2900,1307,failed,12,US,USD,1428469200,1428901200,FALSE,TRUE,theater/plays,45%,659.5,,
67,Lopez Inc,Team-oriented 6thgeneration middleware,72600,117892,successful,4065,GB,GBP,1264399200,1264831200,FALSE,TRUE,technology/wearables,162%,60978.5,,
68,Moreno-Turner,Inverse multi-tasking installation,5700,14508,successful,246,IT,EUR,1501131600,1505192400,FALSE,TRUE,theater/plays,255%,7377,,
69,Jones-Watson,Switchable disintermediate moderator,7900,1901,canceled,17,US,USD,1292738400,1295676000,FALSE,FALSE,theater/plays,24%,959,,
70,Barker Inc,Re-engineered 24/7 task-force,128000,158389,successful,2475,IT,EUR,1288674000,1292911200,FALSE,TRUE,theater/plays,124%,80432,,
71,"Tate, Bass and House",Organic object-oriented budgetary management,6000,6484,successful,76,US,USD,1575093600,1575439200,FALSE,FALSE,theater/plays,108%,3280,,
72,"Hampton, Lewis and Ray",Seamless coherent parallelism,600,4022,successful,54,US,USD,1435726800,1438837200,FALSE,FALSE,film & video/animation,670%,2038,,
73,Collins-Goodman,Cross-platform even-keeled initiative,1400,9253,successful,88,US,USD,1480226400,1480485600,FALSE,FALSE,music/jazz,661%,4670.5,,
74,Davis-Michael,Progressive tertiary framework,3900,4776,successful,85,GB,GBP,1459054800,1459141200,FALSE,FALSE,music/metal,122%,2430.5,,
75,"White, Torres and Bishop",Multi-layered dynamic protocol,9700,14606,successful,170,US,USD,1531630800,1532322000,FALSE,FALSE,photography/photography books,151%,7388,,
76,"Martin, Conway and Larsen",Horizontal next generation function,122900,95993,failed,1684,US,USD,1421992800,1426222800,TRUE,TRUE,theater/plays,78%,48838.5,,
77,Acevedo-Huffman,Pre-emptive impactful model,9500,4460,failed,56,US,USD,1285563600,1286773200,FALSE,TRUE,film & video/animation,47%,2258,,
78,"Montgomery, Larson and Spencer",User-centric bifurcated knowledge user,4500,13536,successful,330,US,USD,1523854800,1523941200,FALSE,FALSE,publishing/translations,301%,6933,,
79,Soto LLC,Triple-buffered reciprocal project,57800,40228,failed,838,US,USD,1529125200,1529557200,FALSE,FALSE,theater/plays,70%,20533,,
80,"Sutton, Barrett and Tucker",Cross-platform needs-based approach,1100,7012,successful,127,US,USD,1503982800,1506574800,FALSE,FALSE,games/video games,637%,3569.5,,
81,"Gomez, Bailey and Flores",User-friendly static contingency,16800,37857,successful,411,US,USD,1511416800,1513576800,FALSE,FALSE,music/rock,225%,19134,,
82,Porter-George,Reactive content-based framework,1000,14973,successful,180,GB,GBP,1547704800,1548309600,FALSE,TRUE,games/video games,1497%,7576.5,,
83,Fitzgerald PLC,Realigned user-facing concept,106400,39996,failed,1000,US,USD,1469682000,1471582800,FALSE,FALSE,music/electric music,38%,20498,,
84,Cisneros-Burton,Public-key zero tolerance orchestration,31400,41564,successful,374,US,USD,1343451600,1344315600,FALSE,FALSE,technology/wearables,132%,20969,,
85,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900,6430,successful,71,AU,AUD,1315717200,1316408400,FALSE,FALSE,music/indie rock,131%,3250.5,,
86,Davis-Smith,Organic motivating firmware,7400,12405,successful,203,US,USD,1430715600,1431838800,TRUE,FALSE,theater/plays,168%,6304,,
87,Farrell and Sons,Synergized 4thgeneration conglomeration,198500,123040,failed,1482,AU,AUD,1299564000,1300510800,FALSE,TRUE,music/rock,62%,62261,,
88,Clark Group,Grass-roots fault-tolerant policy,4800,12516,successful,113,US,USD,1429160400,1431061200,FALSE,FALSE,publishing/translations,261%,6314.5,,
89,"White, Singleton and Zimmerman",Monitored scalable knowledgebase,3400,8588,successful,96,US,USD,1271307600,1271480400,FALSE,FALSE,theater/plays,253%,4342,,
90,Kramer Group,Synergistic explicit parallelism,7800,6132,failed,106,US,USD,1456380000,1456380000,FALSE,TRUE,theater/plays,79%,3119,,
91,"Frazier, Patrick and Smith",Enhanced systemic analyzer,154300,74688,failed,679,IT,EUR,1470459600,1472878800,FALSE,FALSE,publishing/translations,48%,37683.5,,
92,"Santos, Bell and Lloyd",Object-based analyzing knowledge user,20000,51775,successful,498,CH,CHF,1277269200,1277355600,FALSE,TRUE,games/video games,259%,26136.5,,
93,Hall and Sons,Pre-emptive radical architecture,108800,65877,canceled,610,US,USD,1350709200,1351054800,FALSE,TRUE,theater/plays,61%,33243.5,,
94,Hanson Inc,Grass-roots web-enabled contingency,2900,8807,successful,180,GB,GBP,1554613200,1555563600,FALSE,FALSE,technology/web,304%,4493.5,,
95,Sanchez LLC,Stand-alone system-worthy standardization,900,1017,successful,27,US,USD,1571029200,1571634000,FALSE,FALSE,film & video/documentary,113%,522,,
96,Howard Ltd,Down-sized systematic policy,69700,151513,successful,2331,US,USD,1299736800,1300856400,FALSE,FALSE,theater/plays,217%,76922,,
97,Stewart LLC,Cloned bi-directional architecture,1300,12047,successful,113,US,USD,1435208400,1439874000,FALSE,FALSE,food/food trucks,927%,6080,,
98,"Arias, Allen and Miller",Seamless transitional portal,97800,32951,failed,1220,AU,AUD,1437973200,1438318800,FALSE,FALSE,games/video games,34%,17085.5,,
99,Baker-Morris,Fully-configurable motivating approach,7600,14951,successful,164,US,USD,1416895200,1419400800,FALSE,FALSE,theater/plays,197%,7557.5,,
100,"Tucker, Fox and Green",Upgradable fault-tolerant approach,100,1,failed,1,US,USD,1319000400,1320555600,FALSE,FALSE,theater/plays,1%,1,,
101,Douglas LLC,Reduced heuristic moratorium,900,9193,successful,164,US,USD,1424498400,1425103200,FALSE,TRUE,music/electric music,1021%,4678.5,,
102,Garcia Inc,Front-line web-enabled model,3700,10422,successful,336,US,USD,1526274000,1526878800,FALSE,TRUE,technology/wearables,282%,5379,,
103,"Frye, Hunt and Powell",Polarized incremental emulation,10000,2461,failed,37,IT,EUR,1287896400,1288674000,FALSE,FALSE,music/electric music,25%,1249,,
104,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,119200,170623,successful,1917,US,USD,1495515600,1495602000,FALSE,FALSE,music/indie rock,143%,86270,,
105,Charles-Johnson,Total fresh-thinking system engine,6800,9829,successful,95,US,USD,1364878800,1366434000,FALSE,FALSE,technology/web,145%,4962,,
106,"Brandt, Carter and Wood",Ameliorated clear-thinking circuit,3900,14006,successful,147,US,USD,1567918800,1568350800,FALSE,FALSE,theater/plays,359%,7076.5,,
107,"Tucker, Schmidt and Reid",Multi-layered encompassing installation,3500,6527,successful,86,US,USD,1524459600,1525928400,FALSE,TRUE,theater/plays,186%,3306.5,,
108,Decker Inc,Universal encompassing implementation,1500,8929,successful,83,US,USD,1333688400,1336885200,FALSE,FALSE,film & video/documentary,595%,4506,,
109,Romero and Sons,Object-based client-server application,5200,3079,failed,60,US,USD,1389506400,1389679200,FALSE,FALSE,film & video/television,59%,1569.5,,
110,Castillo-Carey,Cross-platform solution-oriented process improvement,142400,21307,failed,296,US,USD,1536642000,1538283600,FALSE,FALSE,food/food trucks,15%,10801.5,,
111,Hart-Briggs,Re-engineered user-facing approach,61400,73653,successful,676,US,USD,1348290000,1348808400,FALSE,FALSE,publishing/radio & podcasts,120%,37164.5,,
112,Jones-Meyer,Re-engineered client-driven hub,4700,12635,successful,361,AU,AUD,1408856400,1410152400,FALSE,FALSE,technology/web,269%,6498,,
113,"Wright, Hartman and Yu",User-friendly tertiary array,3300,12437,successful,131,US,USD,1505192400,1505797200,FALSE,FALSE,food/food trucks,377%,6284,,
114,Harper-Davis,Robust heuristic encoding,1900,13816,successful,126,US,USD,1554786000,1554872400,FALSE,TRUE,technology/wearables,727%,6971,,
115,Barrett PLC,Team-oriented clear-thinking capacity,166700,145382,failed,3304,IT,EUR,1510898400,1513922400,FALSE,FALSE,publishing/fiction,87%,74343,,
116,David-Clark,De-engineered motivating standardization,7200,6336,failed,73,US,USD,1442552400,1442638800,FALSE,FALSE,theater/plays,88%,3204.5,,
117,Chaney-Dennis,Business-focused 24hour groupware,4900,8523,successful,275,US,USD,1316667600,1317186000,FALSE,FALSE,film & video/television,174%,4399,,
118,"Robinson, Lopez and Christensen",Organic next generation protocol,5400,6351,successful,67,US,USD,1390716000,1391234400,FALSE,FALSE,photography/photography books,118%,3209,,
119,Clark and Sons,Reverse-engineered full-range Internet solution,5000,10748,successful,154,US,USD,1402894800,1404363600,FALSE,TRUE,film & video/documentary,215%,5451,,
120,Vega Group,Synchronized regional synergy,75100,112272,successful,1782,US,USD,1429246800,1429592400,FALSE,TRUE,games/mobile games,149%,57027,,
121,Brown-Brown,Multi-lateral homogeneous success,45300,99361,successful,903,US,USD,1412485200,1413608400,FALSE,FALSE,games/video games,219%,50132,,
122,Taylor PLC,Seamless zero-defect solution,136800,88055,failed,3387,US,USD,1417068000,1419400800,FALSE,FALSE,publishing/fiction,64%,45721,,
123,Edwards-Lewis,Enhanced scalable concept,177700,33092,failed,662,CA,CAD,1448344800,1448604000,TRUE,FALSE,theater/plays,19%,16877,,
124,"Stanton, Neal and Rodriguez",Polarized uniform software,2600,9562,successful,94,IT,EUR,1557723600,1562302800,FALSE,FALSE,photography/photography books,368%,4828,,
125,Pratt LLC,Stand-alone web-enabled moderator,5300,8475,successful,180,US,USD,1537333200,1537678800,FALSE,FALSE,theater/plays,160%,4327.5,,
126,Gross PLC,Proactive methodical benchmark,180200,69617,failed,774,US,USD,1471150800,1473570000,FALSE,TRUE,theater/plays,39%,35195.5,,
127,"Martinez, Gomez and Dalton",Team-oriented 6thgeneration matrix,103200,53067,failed,672,CA,CAD,1273640400,1273899600,FALSE,FALSE,theater/plays,51%,26869.5,,
128,Allen-Curtis,Phased human-resource core,70600,42596,canceled,532,US,USD,1282885200,1284008400,FALSE,FALSE,music/rock,60%,21564,,
129,Morgan-Martinez,Mandatory tertiary implementation,148500,4756,canceled,55,AU,AUD,1422943200,1425103200,FALSE,FALSE,food/food trucks,3%,2405.5,,
130,"Luna, Anderson and Fox",Secured directional encryption,9600,14925,successful,533,DK,DKK,1319605200,1320991200,FALSE,FALSE,film & video/drama,155%,7729,,
131,"Fleming, Zhang and Henderson",Distributed 5thgeneration implementation,164700,166116,successful,2443,GB,GBP,1385704800,1386828000,FALSE,FALSE,technology/web,101%,84279.5,,
132,Flowers and Sons,Virtual static core,3300,3834,successful,89,US,USD,1515736800,1517119200,FALSE,TRUE,theater/plays,116%,1961.5,,
133,Gates PLC,Secured content-based product,4500,13985,successful,159,US,USD,1313125200,1315026000,FALSE,FALSE,music/world music,311%,7072,,
134,Caldwell LLC,Secured executive concept,99500,89288,failed,940,CH,CHF,1308459600,1312693200,FALSE,TRUE,film & video/documentary,90%,45114,,
135,"Le, Burton and Evans",Balanced zero-defect software,7700,5488,failed,117,US,USD,1362636000,1363064400,FALSE,TRUE,theater/plays,71%,2802.5,,
136,Briggs PLC,Distributed context-sensitive flexibility,82800,2721,canceled,58,US,USD,1402117200,1403154000,FALSE,TRUE,film & video/drama,3%,1389.5,,
137,Hudson-Nguyen,Down-sized disintermediate support,1800,4712,successful,50,US,USD,1286341200,1286859600,FALSE,FALSE,publishing/nonfiction,262%,2381,,
138,Hogan Ltd,Stand-alone mission-critical moratorium,9600,9216,failed,115,US,USD,1348808400,1349326800,FALSE,FALSE,games/mobile games,96%,4665.5,,
139,"Hamilton, Wright and Chavez",Down-sized empowering protocol,92100,19246,failed,326,US,USD,1429592400,1430974800,FALSE,TRUE,technology/wearables,21%,9786,,
140,Bautista-Cross,Fully-configurable coherent Internet solution,5500,12274,successful,186,US,USD,1519538400,1519970400,FALSE,FALSE,film & video/documentary,223%,6230,,
141,Jackson LLC,Distributed motivating algorithm,64300,65323,successful,1071,US,USD,1434085200,1434603600,FALSE,FALSE,technology/web,102%,33197,,
142,Figueroa Ltd,Expanded solution-oriented benchmark,5000,11502,successful,117,US,USD,1333688400,1337230800,FALSE,FALSE,technology/web,230%,5809.5,,
143,Avila-Jones,Implemented discrete secured line,5400,7322,successful,70,US,USD,1277701200,1279429200,FALSE,FALSE,music/indie rock,136%,3696,,
144,"Martin, Lopez and Hunter",Multi-lateral actuating installation,9000,11619,successful,135,US,USD,1560747600,1561438800,FALSE,FALSE,theater/plays,129%,5877,,
145,Fields-Moore,Secured reciprocal array,25000,59128,successful,768,CH,CHF,1410066000,1410498000,FALSE,FALSE,technology/wearables,237%,29948,,
146,Harris-Golden,Optional bandwidth-monitored middleware,8800,1518,canceled,51,US,USD,1320732000,1322460000,FALSE,FALSE,theater/plays,17%,784.5,,
147,"Moss, Norman and Dunlap",Upgradable upward-trending workforce,8300,9337,successful,199,US,USD,1465794000,1466312400,FALSE,TRUE,theater/plays,112%,4768,,
148,"White, Larson and Wright",Upgradable hybrid capability,9300,11255,successful,107,US,USD,1500958800,1501736400,FALSE,FALSE,technology/wearables,121%,5681,,
149,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,6200,13632,successful,195,US,USD,1357020000,1361512800,FALSE,FALSE,music/indie rock,220%,6913.5,,
150,"Brown, Palmer and Pace",Networked stable workforce,100,1,failed,1,US,USD,1544940000,1545026400,FALSE,FALSE,music/rock,1%,1,,
151,Parker LLC,Customizable intermediate extranet,137200,88037,failed,1467,US,USD,1402290000,1406696400,FALSE,FALSE,music/electric music,64%,44752,,
152,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,41500,175573,successful,3376,US,USD,1487311200,1487916000,FALSE,FALSE,music/indie rock,423%,89474.5,,
153,"Whitehead, Bell and Hughes",Multi-tiered radical definition,189400,176112,failed,5681,US,USD,1350622800,1351141200,FALSE,FALSE,theater/plays,93%,90896.5,,
154,Rodriguez-Brown,Devolved foreground benchmark,171300,100650,failed,1059,US,USD,1463029200,1465016400,FALSE,TRUE,music/indie rock,59%,50854.5,,
155,Hall-Schaefer,Distributed eco-centric methodology,139500,90706,failed,1194,US,USD,1269493200,1270789200,FALSE,FALSE,theater/plays,65%,45950,,
156,Meza-Rogers,Streamlined encompassing encryption,36400,26914,canceled,379,AU,AUD,1570251600,1572325200,FALSE,FALSE,music/rock,74%,13646.5,,
157,Curtis-Curtis,User-friendly reciprocal initiative,4200,2212,failed,30,AU,AUD,1388383200,1389420000,FALSE,FALSE,photography/photography books,53%,1121,,
158,Carlson Inc,Ergonomic fresh-thinking installation,2100,4640,successful,41,US,USD,1449554400,1449640800,FALSE,FALSE,music/rock,221%,2340.5,,
159,"Clarke, Anderson and Lee",Robust explicit hardware,191200,191222,successful,1821,US,USD,1553662800,1555218000,FALSE,TRUE,theater/plays,100%,96521.5,,
160,Evans Group,Stand-alone actuating support,8000,12985,successful,164,US,USD,1556341200,1557723600,FALSE,FALSE,technology/wearables,162%,6574.5,,
161,Bruce Group,Cross-platform methodical process improvement,5500,4300,failed,75,US,USD,1442984400,1443502800,FALSE,TRUE,technology/web,78%,2187.5,,
162,"Keith, Alvarez and Potter",Extended bottom-line open architecture,6100,9134,successful,157,CH,CHF,1544248800,1546840800,FALSE,FALSE,music/rock,150%,4645.5,,
163,Burton-Watkins,Extended reciprocal circuit,3500,8864,successful,246,US,USD,1508475600,1512712800,FALSE,TRUE,photography/photography books,253%,4555,,
164,Lopez and Sons,Polarized human-resource protocol,150500,150755,successful,1396,US,USD,1507438800,1507525200,FALSE,FALSE,theater/plays,100%,76075.5,,
165,Cordova Ltd,Synergized radical product,90400,110279,successful,2506,US,USD,1501563600,1504328400,FALSE,FALSE,technology/web,122%,56392.5,,
166,Brown-Vang,Robust heuristic artificial intelligence,9800,13439,successful,244,US,USD,1292997600,1293343200,FALSE,FALSE,photography/photography books,137%,6841.5,,
167,Cruz-Ward,Robust content-based emulation,2600,10804,successful,146,AU,AUD,1370840400,1371704400,FALSE,FALSE,theater/plays,416%,5475,,
168,Hernandez Group,Ergonomic uniform open system,128100,40107,failed,955,DK,DKK,1550815200,1552798800,FALSE,TRUE,music/indie rock,31%,20531,,
169,"Tran, Steele and Wilson",Profit-focused modular product,23300,98811,successful,1267,US,USD,1339909200,1342328400,FALSE,TRUE,film & video/shorts,424%,50039,,
170,"Summers, Gallegos and Stein",Mandatory mobile product,188100,5528,failed,67,US,USD,1501736400,1502341200,FALSE,FALSE,music/indie rock,3%,2797.5,,
171,Blair Group,Public-key 3rdgeneration budgetary management,4900,521,failed,5,US,USD,1395291600,1397192400,FALSE,FALSE,publishing/translations,11%,263,,
172,Nixon Inc,Centralized national firmware,800,663,failed,26,US,USD,1405746000,1407042000,FALSE,TRUE,film & video/documentary,83%,344.5,,
173,White LLC,Cross-group 4thgeneration middleware,96700,157635,successful,1561,US,USD,1368853200,1369371600,FALSE,FALSE,theater/plays,163%,79598,,
174,"Santos, Black and Donovan",Pre-emptive scalable access,600,5368,successful,48,US,USD,1444021200,1444107600,FALSE,TRUE,technology/wearables,895%,2708,,
175,"Jones, Contreras and Burnett",Sharable intangible migration,181200,47459,failed,1130,US,USD,1472619600,1474261200,FALSE,FALSE,theater/plays,26%,24294.5,,
176,Stone-Orozco,Proactive scalable Graphical User Interface,115000,86060,failed,782,US,USD,1472878800,1473656400,FALSE,FALSE,theater/plays,75%,43421,,
177,"Lee, Gibson and Morgan",Digitized solution-oriented product,38800,161593,successful,2739,US,USD,1289800800,1291960800,FALSE,FALSE,theater/plays,416%,82166,,
